A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	1	#	1	0.09571138691561018	0.6254501800720288	4	179.501097739574	4991	0	0.16666666666666666	17843.84477762377	1563	2499
#	1	0	0	#	#	0	0.23793817536009593	0.7504	5	158.3886798115289	4973	2	0.5	9519.64160457421	469	625
1	#	0	1	#	#	0	0.03125	0.5	1	162.04620905897758	4997	5	0.5	2988.2528826237117	313	626
0	0	#	#	#	#	0	0.03137530056089729	0.500400320256205	1	154.34059840725584	4998	6	0.3333333333333333	2813.9272328262828	625	1249
1	0	#	#	#	#	0	0.03125	0.5	1	160.64226800292522	4974	9	0.3333333333333333	2968.191109437805	624	1248
#	#	1	0	#	1	1	0.095367431640625	0.625	5	155.0034596402636	4991	10	0.5	23243.519621708707	390	624
#	0	#	1	#	1	1	0.03125	0.5	1	162.92772011399433	4935	16	0.5	3056.8603979660943	312	624
#	#	1	#	1	#	1	0.23635012442799433	0.7493956486704271	7	195.0909411905052	4991	25	0.3333333333333333	23136.514123653324	930	1241
0	#	#	#	0	0	1	0.030750808994854082	0.4983922829581994	1	162.2309864131535	4955	27	0.5	3017.851327634914	310	622
#	#	#	0	#	1	1	0.03099919872934783	0.499194847020934	2	140.37068262839702	4991	40	0.3333333333333333	10361.115442160328	620	1242
1	#	0	#	#	#	0	0.03137610960197193	0.500402900886382	1	163.8617524249251	4997	42	0.3333333333333333	3029.2689868593175	621	1241
1	#	#	1	#	0	0	0.23986734932970938	0.7516129032258064	6	168.119706894074	4997	44	0.5	14433.463776516033	466	620
1	#	#	#	1	0	0	0.031504063702637995	0.5008103727714749	1	160.4641131240331	4970	58	0.5	2913.613366405587	309	617
#	1	1	0	0	#	0	0.23858741255028879	0.7508090614886731	4	173.7754578609309	4993	65	0.6666666666666666	695.1018314437237	232	309
#	1	#	#	1	#	1	0.03125	0.5	1	181.94515363342808	4988	75	0.3333333333333333	3330.5123466328773	615	1230
#	#	1	1	#	#	1	0.2373046875	0.75	5	189.69875656870573	4966	80	0.3333333333333333	11431.908863333065	921	1228
0	0	#	#	0	0	1	0.03074434724762547	0.498371335504886	1	153.15250169425752	4955	91	0.6666666666666666	2849.570434702491	153	307
#	0	#	#	1	#	1	0.23827964381763028	0.7506152584085316	9	162.44981262977717	4991	119	0.3333333333333333	32140.961282282562	915	1219
#	1	#	0	#	#	0	0.23796350077423983	0.7504159733777038	13	167.12893114609702	4993	193	0.3333333333333333	67896.68466411061	902	1202
#	0	#	#	#	#	0	0.03118492297137225	0.49979157982492706	2	162.22995758118006	4998	201	0.16666666666666666	12065.75972517527	1199	2399
#	1	#	1	#	0	0	0.03177608244761707	0.5016722408026756	1	154.13691782151713	4997	206	0.5	2774.769386723063	300	598
0	1	#	#	1	#	1	0.030989150041069852	0.4991624790619765	1	180.3661367136421	4964	206	0.5	3329.3995466805345	298	597
#	#	1	1	#	1	1	0.5122976019625834	0.8747913188647746	3	199.13402678319886	4966	208	0.5	597.4020803495966	524	599
0	1	#	#	#	0	1	0.03072917833769417	0.4983221476510067	1	164.12274530608494	4939	209	0.5	3055.191257426609	297	596
0	#	#	1	0	#	1	0.23598486492701679	0.7491638795986622	5	157.2731966195364	4917	209	0.5	9530.83937324963	448	598
#	#	#	#	1	#	0	0.00746245055310413	0.37547090832984514	1	179.501097739574	4973	217	0.16666666666666666	14256.759668927763	897	2389
#	0	#	#	#	0	0	0.031382079270647074	0.5004219409282701	1	172.37567808086044	4965	229	0.3333333333333333	3142.0627215164923	593	1185
0	1	1	#	#	#	0	0.03125	0.5	1	189.2037084892414	4993	257	0.5	3463.380444975876	296	592
